brand,model,years,curb_weight_kg,notes
"Bentley","S1","1955–1959","1700","Стандартная версия (не Continental)"
"Bentley","S1 Continental","1955–1959","1800","Облегчённая версия купе"
"Bentley","S2","1959–1962","1981","Стандартная версия"
"Bentley","S3","1962–1965","1918","Стандартная версия"
"Bentley","T1","1965–1977","2103","Стандартная версия"
"Bentley","T2","1977–1980","2235","Стандартная версия"
"Bentley","Mulsanne (1980–1992)","1980–1992","2320","Базовая модель"
"Bentley","Mulsanne Turbo","1982–1988","2250","Турбированная версия"
"Bentley","Eight","1984–1992","2320","Доступная версия"
"Bentley","Turbo R","1985–1999","2390","Улучшенная управляемость"
"Bentley","Turbo RT","1997–1999","2420","Самая мощная версия Turbo R"
"Bentley","Continental R","1991–2002","2420","Купе"
"Bentley","Continental T","1996–2002","2450","Укороченное купе"
"Bentley","Continental SC","1998–2000","2610","Купе-кабриолет"
"Bentley","Brooklands (1992–1997)","1992–1998","2350","Замена Mulsanne S"
"Bentley","Azure (1995–2009)","1995–2009","2610","Кабриолет"
"Bentley","Arnage","1998–2009","2302","Базовая версия Green Label"
"Bentley","Continental GT (2003–2018)","2003–2018","2320","Первое поколение"
"Bentley","Continental Flying Spur (2005–2013)","2005–2013","2475","Седан на базе Continental GT"
"Bentley","Brooklands (2008–2011)","2008–2011","2655","Современное купе"
"Bentley","Mulsanne (2010–2020)","2010–2020","2585","Флагманский седан"
"Bentley","Bentayga","2015–наст.","2388","Первый внедорожник Bentley"
"Bentley","Continental GT (2018–наст.)","2018–наст.","2165","Третье поколение"
"Bentley","Flying Spur (2019–наст.)","2019–наст.","2330","Представительский седан"
"Bentley","Bacalar","2021–2022","2270","Барчетта (12 экз.)"
"Bentley","Batur","2023–2024","2399","Купе (18 экз.)"
"Bentley","Batur Convertible","2024–2025","2399","Кабриолет (16 экз.)"
"Bestune","B70 (III поколение) 1.5T","2020–наст.","1485","Лифтбек, 1.5T (169 л.с.), 7DCT"
"Bestune","B70 (III поколение) 2.0T Master","2020–наст.","1615","Лифтбек, 2.0T (217 л.с.), 6AT Aisin"
"Bestune","B70 (II поколение)","2014–2020","1480","Базовая версия, масса до 1930 кг в топ-версиях"
"Bestune","B70S 1.5T","2022–2025","1500","Купе-кроссовер, 1.5T (169 л.с.), 7DCT"
"Bestune","B70S 2.0T","2022–2025","1535","Купе-кроссовер, 2.0T (224 л.с.), 6AT"
"Bestune","T90","2024–наст.","1525","Среднеразмерный кроссовер, 1.5T (169 л.с.), 7DCT"
"Bestune","T77","2018–наст.","1468","Компактный кроссовер, минимальная масса (1.2T, 143 л.с.)"
"Bestune","T77 (1.5T)","2018–наст.","1515","Компактный кроссовер, 1.5T (169 л.с.), 7DCT"
"Bestune","T99","2019–наст.","1775","Флагманский кроссовер, 2.0T (224 л.с.), 6/8AT"
"Bestune","T55","2021–наст.","1485","Компактный кроссовер, 1.5T (160 л.с.), 7DCT"
"Bestune","E01","2020–наст.","1810","Электрический кроссовер, 190 л.с., запас хода 450 км"
"Bestune","Pony","2024–наст.","685","Городской электромобиль, минимальная масса, запас хода 122–170 км"
"Bestune","Pony (топ-версия)","2024–наст.","715","Городской электромобиль, максимальная масса"
"Bestune","NAT","2021–наст.","1700","Электрический компактвэн для такси, запас хода до 425 км"
"Bestune","M9","2023–наст.","2200","Полноразмерный минивэн, 2.0T (252 л.с.) + 48V, 8AT"
"BMW","2 Series Gran Coupe 228 xDrive","2025–наст.","1603","Компактный четырехдверный седан с полным приводом"
"BMW","3 Series 330i","2025–наст.","1653","Базовый седан бизнес-класса"
"BMW","3 Series 330i xDrive","2025–наст.","1702","Полноприводная версия 330i"
"BMW","5 Series 530i","2025–наст.","1833","Бизнес-седан с 2.0-литровым двигателем"
"BMW","5 Series 550e xDrive PHEV","2025–наст.","2220","Подключаемый гибрид (PHEV)"
"BMW","7 Series 740i","2025–наст.","2141","Флагманский седан с рядным 6-цилиндровым двигателем"
"BMW","7 Series 750e xDrive PHEV","2025–наст.","2418","Подключаемый гибрид на базе 7 Series"
"BMW","2 Series Coupe 230i xDrive","2025–наст.","1630","Компактное купе с полным приводом"
"BMW","4 Series Coupe 430i","2025–наст.","1623","Классическое купе с задним приводом"
"BMW","4 Series Convertible 430i","2025–наст.","1777","Кабриолет на базе 4 Series"
"BMW","4 Series Gran Coupe 430i","2025–наст.","1768","Четырехдверное купе с задним приводом"
"BMW","4 Series Gran Coupe M440i xDrive","2025–наст.","1935","Полноприводная версия с рядным 6-цилиндровым двигателем"
"BMW","8 Series Gran Coupe M850i xDrive","2025–наст.","2130","Люксовое четырехдверное купе с V8"
"BMW","8 Series Convertible 840i","2025–наст.","1885","Кабриолет на базе 8 Series"
"BMW","Z4 sDrive30i","2025–наст.","1503","Родстер с задним приводом"
"BMW","Z4 M40i","2025–наст.","1607","Более мощная версия родстера"
"BMW","X1 xDrive28i","2025–наст.","1701","Компактный кроссовер с полным приводом"
"BMW","X1 M35i","2025–наст.","1719","«Заряженная» версия X1"
"BMW","X3 30 xDrive","2025–наст.","1894","Кроссовер среднего размера"
"BMW","X3 M50","2025–наст.","2057","Мощная версия X3"
"BMW","X5 xDrive40i","2025–наст.","2267","Большой кроссовер с рядным 6-цилиндровым двигателем"
"BMW","X5 xDrive50e PHEV","2025–наст.","2528","Подключаемый гибрид на базе X5"
"BMW","X5 M Competition","2025–наст.","2494","Топ-версия X5 от M GmbH"
"BMW","X6 M60i xDrive","2025–наст.","2404","Купеобразный кроссовер с V8"
"BMW","X6 M Competition","2025–наст.","2438","Заряженная версия X6 от M GmbH"
"BMW","X7 xDrive40i","2025–наст.","2457","Трехрядный внедорожник"
"BMW","X7 M60i","2025–наст.","2674","Мощная версия X7 с V8"
"BMW","XM","2025–наст.","2764","Самостоятельная модель M GmbH"
"BMW","i4 eDrive35","2025–наст.","2000","Электрический лифтбек"
"BMW","i4 eDrive40","2025–наст.","2116","Электрический лифтбек с увеличенным запасом хода"
"BMW","i4 xDrive40","2025–наст.","2254","Полноприводная версия i4"
"BMW","i5 eDrive40","2025–наст.","2230","Электрический бизнес-седан"
"BMW","i5 M60","2025–наст.","2380","Заряженная версия i5 от M GmbH"
"BMW","i7 eDrive50","2025–наст.","2520","Электрический флагманский седан"
"BMW","i7 xDrive60","2025–наст.","2710","Полноприводная версия i7"
"BMW","i7 M70","2025–наст.","2808","Топ-версия электрического седана от M GmbH"
"BMW","iX xDrive50","2025–наст.","2567","Электрический кроссовер"
"BMW","iX M60","2025–наст.","2639","Заряженная версия iX от M GmbH"
"BMW","M2","2025–наст.","1730","Компактное спортивное купе M"
"BMW","M3 Sedan","2025–наст.","1742","Спортседан с задним приводом"
